Metric,Baseline,PM_Lean,PM_HighService
MAPE,0.2863024357289491,0.2862352758038815,0.2862352758038815
Fill Rate,0.9620049480840784,0.9666312118909863,0.9681570529678766
Avg Inventory (units),921.2686170212766,972.0466489361702,958.3010106382978
Turnover,1810.8969188532235,1716.298802969847,1740.9169785689535
Stockout Weeks,35.0,34.0,36.0
Holding Cost,23461.444388474505,24526.962270298645,24207.940903478764
Ordering Cost,14600.0,14900.0,14800.0
Total Cost,38061.444388474505,39426.962270298645,39007.94090347877
